origin_position_11,destination_position_11,n_passes,window,pattern_name
LCB,RB,1,to_40,interior_exterior_same_side
RB,DM,1,to_40,interior_exterior_same_side
AM,LB,1,to_40,outer_inner_exit
DM,LB,1,to_40,switch_of_play
RB,RCB,1,to_40,interior_exterior_same_side
LCB,LW,1,to_40,switch_of_play
RW,RB,1,to_40,switch_of_play
DM,LW,1,to_40,outer_inner_exit
RCB,LB,1,to_40,outer_inner_exit
LW,AM,1,to_40,outer_inner_exit
GK,DM,1,to_40,interior_exterior_opposite_side
LCB,CF,1,to_40,switch_of_play
RB,DM,1,to_40,interior_exterior_opposite_side
DM,LB,1,to_40,other_pattern
DM,RCB,1,to_40,interior_exterior_same_side
AM,LW,1,to_40,interior_exterior_same_side
GK,AM,1,to_40,interior_exterior_same_side
LCB,RW,1,to_40,outer_inner_exit
LW,DM,1,to_40,interior_exterior_opposite_side
DM,LW,1,to_40,interior_exterior_opposite_side
CF,RW,1,to_40,interior_exterior_same_side
GK,AM,1,to_40,center_exit_pattern
LW,DM,1,to_40,other_pattern
LB,RW,1,to_40,other_pattern
CF,LB,1,to_40,interior_exterior_opposite_side
GK,RW,1,to_40,interior_exterior_same_side
CF,RB,1,to_40,outer_inner_exit
LB,RW,1,to_40,interior_exterior_opposite_side
RW,RB,1,to_40,interior_exterior_opposite_side
GK,CF,1,to_40,outer_inner_exit
CF,RCB,1,to_40,outer_inner_exit
RB,CF,1,to_40,other_pattern
LB,AM,1,to_40,interior_exterior_same_side
LCB,RB,1,to_40,other_pattern
RB,AM,1,to_40,other_pattern
AM,RB,1,to_40,other_pattern
RB,DM,1,to_40,other_pattern
LW,CF,1,to_40,outer_inner_exit
LCB,CF,1,to_40,outer_inner_exit
CF,AM,1,to_40,outer_inner_exit
AM,RCB,1,to_40,outer_inner_exit
LCB,AM,1,to_40,switch_of_play
RCB,RCB,1,to_40,center_exit_pattern
DM,DM,1,to_40,interior_exterior_same_side
CF,RW,1,to_40,outer_inner_exit
DM,RCB,1,to_40,switch_of_play
GK,LW,1,to_40,interior_exterior_same_side
LW,LCB,1,to_40,interior_exterior_same_side
GK,RW,1,to_40,outer_inner_exit
RB,DM,1,to_40,switch_of_play
LB,DM,1,to_40,other_pattern
DM,LCB,1,to_40,outer_inner_exit
DM,GK,1,to_40,outer_inner_exit
LCB,RB,1,to_40,outer_inner_exit
GK,RW,1,to_40,switch_of_play
CF,DM,1,to_40,other_pattern
LW,RCB,1,to_40,interior_exterior_same_side
DM,GK,1,to_40,other_pattern
RW,DM,1,to_40,interior_exterior_same_side
LCB,AM,1,to_40,interior_exterior_same_side
RCB,GK,1,to_40,outer_inner_exit
DM,LB,1,to_40,outer_inner_exit
LB,DM,1,to_40,switch_of_play
DM,GK,1,to_40,switch_of_play
RB,AM,1,to_40,switch_of_play
AM,CF,1,to_40,interior_exterior_same_side
RCB,RCB,1,to_40,outer_inner_exit
RB,RB,1,to_40,outer_inner_exit
RB,DM,1,to_40,outer_inner_exit
