match_id,possession,team,period,action_number,event_id,index,minute,second,duration,player,player_id,position,type,location,location_x,location_y,pass_end_location,carry_end_location,pass_length,pass_angle,pass_height,pass_type,pass_outcome,pass_recipient,play_pattern,end_x,end_y,under_pressure_flag,outcome_label_x,outcome_label_y,reached_40_flag,reached_60_flag,analysis_end_action_number_to_40,analysis_end_action_number_to_60,big_pattern_to_40_id,big_pattern_to_40_name,big_pattern_to_60_id,big_pattern_to_60_name,first_3_relation_id,first_3_relation_name,position_11,is_in_to_40_window,is_in_to_60_window
4005039,42,Famalicão,1,4,aa604163-8c50-5f61-bfc0-9f950f9395cf,576,14,54,1.264,Leonardo Javier Realpe Montaño,44099.0,Right Center Back,Pass,"[33.5, 56.0]",33.5,56.0,"[43.1, 55.8]",,9.6,-0.02083,Ground Pass,,,Tom van de Looi,From Goal Kick,43.1,55.8,False,success_partial,success_partial,1,0,6,7,4,center_exit_pattern,4,center_exit_pattern,1,GR-CB's,RCB,1,1
4005039,42,Famalicão,1,5,1cce6f52-40da-53d2-8828-1101f9fb26e6,578,14,55,1.927,Tom van de Looi,15541.0,Right Defensive Midfield,Carry,"[43.1, 55.8]",43.1,55.8,,"[42.0, 63.3]",,,,,,,From Goal Kick,42.0,63.3,False,success_partial,success_partial,1,0,6,7,4,center_exit_pattern,4,center_exit_pattern,1,GR-CB's,DM,1,1
4005039,42,Famalicão,1,6,b5be18f4-e01e-53be-8d36-9c8a9b2b531b,579,14,57,0.649,Tom van de Looi,15541.0,Right Defensive Midfield,Pass,"[42.0, 63.3]",42.0,63.3,"[59.3, 63.7]",,17.3,0.023117,Low Pass,,,Gustavo Filipe Alves Freitas Azevedo Sá,From Goal Kick,59.3,63.7,False,success_partial,success_partial,1,0,6,7,4,center_exit_pattern,4,center_exit_pattern,1,GR-CB's,DM,1,1
4005039,42,Famalicão,1,7,2db5008e-dab0-5b91-ad93-2deff36ec10e,581,14,58,0.183,Gustavo Filipe Alves Freitas Azevedo Sá,299291.0,Center Attacking Midfield,Carry,"[59.3, 63.7]",59.3,63.7,,"[60.5, 63.3]",,,,,,,From Goal Kick,60.5,63.3,False,success_partial,success_partial,1,0,6,7,4,center_exit_pattern,4,center_exit_pattern,1,GR-CB's,AM,0,1
4005039,84,Famalicão,1,1,e010c290-a922-5561-af6c-99d08b8488ea,1178,34,5,2.322,Lazar Carević,153293.0,Goalkeeper,Pass,"[11.2, 32.4]",11.2,32.4,"[29.2, 6.2]",,31.79,-0.968833,High Pass,,,Gustavo Filipe Alves Freitas Azevedo Sá,From Free Kick,29.2,6.2,False,success_partial,success_partial,1,0,4,9,5,outer_inner_exit,5,outer_inner_exit,2,GR-Médios,GK,1,1
4005039,84,Famalicão,1,2,389c8b64-9713-548f-86a9-87a40b90fc15,1180,34,7,6.368,Gustavo Filipe Alves Freitas Azevedo Sá,299291.0,Center Attacking Midfield,Carry,"[29.2, 6.2]",29.2,6.2,,"[45.6, 5.9]",,,,,,,From Free Kick,45.6,5.9,False,success_partial,success_partial,1,0,4,9,5,outer_inner_exit,5,outer_inner_exit,2,GR-Médios,AM,1,1
4005039,84,Famalicão,1,3,2fa0e843-e881-5782-96b1-899ae1a594a4,1181,34,13,1.111,Gustavo Filipe Alves Freitas Azevedo Sá,299291.0,Center Attacking Midfield,Pass,"[45.6, 5.9]",45.6,5.9,"[46.8, 17.0]",,11.16,1.463106,Ground Pass,,,Tom van de Looi,Regular Play,46.8,17.0,False,success_partial,success_partial,1,0,4,9,5,outer_inner_exit,5,outer_inner_exit,2,GR-Médios,AM,1,1
4005039,84,Famalicão,1,4,84e12f62-25aa-58b1-90cd-fd4e8a960814,1183,34,14,0.379,Tom van de Looi,15541.0,Right Defensive Midfield,Carry,"[46.8, 17.0]",46.8,17.0,,"[46.8, 17.0]",,,,,,,Regular Play,46.8,17.0,False,success_partial,success_partial,1,0,4,9,5,outer_inner_exit,5,outer_inner_exit,2,GR-Médios,DM,1,1
4005039,84,Famalicão,1,5,be3b1538-44b6-5ace-a9f2-734cdff9a4b1,1184,34,15,1.487,Tom van de Looi,15541.0,Right Defensive Midfield,Pass,"[46.8, 17.0]",46.8,17.0,"[48.3, 7.9]",,9.22,-1.40743,Ground Pass,,,Gustavo Filipe Alves Freitas Azevedo Sá,Regular Play,48.3,7.9,False,success_partial,success_partial,1,0,4,9,5,outer_inner_exit,5,outer_inner_exit,2,GR-Médios,DM,0,1
4005039,84,Famalicão,1,6,688e4ec3-2f94-527f-8521-8e613bfd6036,1186,34,16,1.884,Gustavo Filipe Alves Freitas Azevedo Sá,299291.0,Center Attacking Midfield,Carry,"[48.3, 7.9]",48.3,7.9,,"[47.4, 9.1]",,,,,,,Regular Play,47.4,9.1,False,success_partial,success_partial,1,0,4,9,5,outer_inner_exit,5,outer_inner_exit,2,GR-Médios,AM,0,1
