origin_position_11,destination_position_11,n_passes,window,pattern_name
RCB,LCB,10,to_60,interior_exterior_opposite_side
RCB,RB,10,to_60,interior_exterior_opposite_side
RB,RW,10,to_60,switch_of_play
GK,LB,10,to_60,switch_of_play
DM,LCB,10,to_60,switch_of_play
GK,RB,10,to_60,outer_inner_exit
GK,LB,9,to_60,outer_inner_exit
LW,DM,9,to_60,switch_of_play
LCB,DM,9,to_60,center_exit_pattern
GK,LB,9,to_60,other_pattern
RCB,GK,9,to_60,other_pattern
LB,LCB,9,to_60,switch_of_play
RB,AM,9,to_60,interior_exterior_same_side
DM,RB,8,to_60,interior_exterior_same_side
GK,RCB,8,to_60,center_exit_pattern
RCB,DM,8,to_60,interior_exterior_same_side
RCB,DM,8,to_60,interior_exterior_opposite_side
GK,DM,8,to_60,switch_of_play
LB,DM,8,to_60,interior_exterior_same_side
RCB,GK,7,to_60,center_exit_pattern
RCB,AM,7,to_60,interior_exterior_same_side
LCB,GK,7,to_60,center_exit_pattern
GK,LCB,7,to_60,other_pattern
LCB,LB,7,to_60,outer_inner_exit
LB,LW,7,to_60,outer_inner_exit
DM,AM,7,to_60,interior_exterior_same_side
RW,RB,7,to_60,interior_exterior_same_side
DM,LW,7,to_60,interior_exterior_same_side
RCB,DM,6,to_60,center_exit_pattern
LCB,LW,6,to_60,switch_of_play
GK,RB,6,to_60,interior_exterior_opposite_side
DM,RW,6,to_60,interior_exterior_same_side
RCB,AM,6,to_60,switch_of_play
LB,GK,6,to_60,switch_of_play
LB,LW,6,to_60,interior_exterior_opposite_side
LB,DM,6,to_60,outer_inner_exit
RCB,DM,6,to_60,switch_of_play
DM,RCB,6,to_60,switch_of_play
GK,RCB,6,to_60,other_pattern
DM,DM,5,to_60,switch_of_play
LB,LCB,5,to_60,interior_exterior_same_side
LCB,RCB,5,to_60,center_exit_pattern
RCB,RB,5,to_60,outer_inner_exit
RW,RCB,5,to_60,switch_of_play
DM,LB,5,to_60,switch_of_play
DM,RCB,5,to_60,center_exit_pattern
RCB,CF,5,to_60,interior_exterior_same_side
RB,AM,5,to_60,interior_exterior_opposite_side
LCB,DM,5,to_60,interior_exterior_opposite_side
RW,AM,5,to_60,interior_exterior_same_side
LB,DM,5,to_60,switch_of_play
AM,RB,5,to_60,interior_exterior_same_side
GK,LCB,5,to_60,outer_inner_exit
AM,RW,5,to_60,interior_exterior_same_side
RCB,LW,5,to_60,interior_exterior_opposite_side
DM,LCB,5,to_60,interior_exterior_same_side
DM,AM,4,to_60,switch_of_play
AM,RW,4,to_60,switch_of_play
DM,AM,4,to_60,center_exit_pattern
GK,RCB,4,to_60,outer_inner_exit
GK,DM,4,to_60,center_exit_pattern
RB,RCB,4,to_60,interior_exterior_opposite_side
DM,LCB,4,to_60,outer_inner_exit
AM,RB,4,to_60,switch_of_play
RCB,LCB,4,to_60,other_pattern
LB,LW,4,to_60,other_pattern
LB,CF,4,to_60,interior_exterior_same_side
LCB,LW,4,to_60,interior_exterior_same_side
RB,RCB,4,to_60,outer_inner_exit
RB,RCB,4,to_60,interior_exterior_same_side
DM,RB,4,to_60,interior_exterior_opposite_side
DM,RW,4,to_60,switch_of_play
DM,GK,4,to_60,interior_exterior_opposite_side
DM,RCB,4,to_60,interior_exterior_same_side
LCB,DM,4,to_60,other_pattern
RCB,RW,4,to_60,center_exit_pattern
DM,GK,4,to_60,interior_exterior_same_side
RCB,LCB,3,to_60,center_exit_pattern
RW,AM,3,to_60,center_exit_pattern
LB,LCB,3,to_60,outer_inner_exit
LCB,RCB,3,to_60,outer_inner_exit
GK,RB,3,to_60,switch_of_play
LCB,CF,3,to_60,center_exit_pattern
RCB,LB,3,to_60,interior_exterior_opposite_side
LB,LCB,3,to_60,interior_exterior_opposite_side
LW,LB,3,to_60,interior_exterior_opposite_side
AM,DM,3,to_60,switch_of_play
LCB,LB,3,to_60,other_pattern
CM,CF,3,to_60,interior_exterior_same_side
GK,DM,3,to_60,other_pattern
RB,CF,3,to_60,outer_inner_exit
RB,RW,3,to_60,outer_inner_exit
CF,LW,3,to_60,interior_exterior_same_side
LW,DM,3,to_60,interior_exterior_same_side
RB,RW,3,to_60,interior_exterior_opposite_side
RB,DM,3,to_60,interior_exterior_same_side
RW,LW,3,to_60,switch_of_play
DM,RCB,3,to_60,interior_exterior_opposite_side
RCB,DM,3,to_60,other_pattern
RCB,CF,3,to_60,interior_exterior_opposite_side
LCB,GK,3,to_60,outer_inner_exit
GK,RB,3,to_60,interior_exterior_same_side
GK,RB,3,to_60,other_pattern
RW,DM,3,to_60,interior_exterior_same_side
RB,GK,3,to_60,switch_of_play
GK,AM,2,to_60,outer_inner_exit
DM,AM,2,to_60,outer_inner_exit
AM,RW,2,to_60,center_exit_pattern
AM,DM,2,to_60,center_exit_pattern
LCB,CM,2,to_60,interior_exterior_opposite_side
RCB,CM,2,to_60,interior_exterior_same_side
CM,RB,2,to_60,center_exit_pattern
LCB,CM,2,to_60,interior_exterior_same_side
CM,DM,2,to_60,interior_exterior_same_side
RW,DM,2,to_60,switch_of_play
DM,CM,2,to_60,center_exit_pattern
DM,LW,2,to_60,switch_of_play
LW,LCB,2,to_60,switch_of_play
CF,DM,2,to_60,interior_exterior_same_side
LCB,CF,2,to_60,interior_exterior_opposite_side
AM,DM,2,to_60,interior_exterior_opposite_side
DM,LW,2,to_60,interior_exterior_opposite_side
RCB,DM,2,to_60,outer_inner_exit
GK,AM,2,to_60,switch_of_play
CF,RW,2,to_60,switch_of_play
CF,DM,2,to_60,center_exit_pattern
DM,LCB,2,to_60,other_pattern
LCB,CF,2,to_60,other_pattern
RW,AM,2,to_60,outer_inner_exit
RW,RB,2,to_60,outer_inner_exit
LB,CF,2,to_60,other_pattern
CF,LW,2,to_60,other_pattern
DM,LW,2,to_60,center_exit_pattern
RCB,AM,2,to_60,center_exit_pattern
RCB,CF,2,to_60,outer_inner_exit
DM,DM,2,to_60,interior_exterior_same_side
LCB,RB,2,to_60,interior_exterior_same_side
RB,AM,2,to_60,outer_inner_exit
RB,CF,2,to_60,interior_exterior_same_side
LCB,CF,2,to_60,switch_of_play
AM,LW,2,to_60,interior_exterior_same_side
CF,DM,2,to_60,other_pattern
LW,LB,2,to_60,interior_exterior_same_side
DM,CF,2,to_60,center_exit_pattern
LW,CF,2,to_60,interior_exterior_same_side
GK,AM,2,to_60,interior_exterior_same_side
LCB,RW,2,to_60,outer_inner_exit
CF,LW,2,to_60,interior_exterior_opposite_side
CF,AM,2,to_60,interior_exterior_same_side
CF,RW,2,to_60,interior_exterior_same_side
AM,DM,2,to_60,interior_exterior_same_side
RB,AM,2,to_60,switch_of_play
RB,CM,2,to_60,outer_inner_exit
CM,CF,2,to_60,outer_inner_exit
CM,RB,2,to_60,interior_exterior_opposite_side
RB,CM,2,to_60,interior_exterior_same_side
RCB,LCB,2,to_60,outer_inner_exit
GK,LB,2,to_60,interior_exterior_same_side
RB,AM,2,to_60,other_pattern
DM,LCB,2,to_60,interior_exterior_opposite_side
RB,DM,2,to_60,switch_of_play
LB,AM,2,to_60,switch_of_play
LCB,LW,2,to_60,outer_inner_exit
LW,LCB,2,to_60,outer_inner_exit
