match_id,loss_possession,next_possession,n_shots,shot_occurred,entry_last_third,shot_10_15,progression,transition_speed,shot_rate
4005887,112,113,0,0,0,0,-1,-0.9000000000000057,0
4005887,118,119,0,0,0,0,0,0.0,0
4005887,126,127,0,0,0,0,-6,-1.2400000000000007,0
4005887,140,141,0,0,0,0,10,3.4666666666666686,0
4005887,150,151,0,0,0,0,-9,-0.7230769230769233,0
4005904,11,12,0,0,0,0,0,0.0,0
4005904,153,154,0,0,0,0,2,0.8999999999999986,0
4005904,192,193,0,0,1,0,-4,-1.4333333333333325,0
4005904,200,201,0,0,0,0,11,0.7599999999999999,0
4005904,209,210,0,0,1,0,16,5.466666666666664,0
4005912,26,27,0,0,0,0,0,0.0,0
4005912,31,32,0,0,0,0,3,0.20769230769230737,0
4005912,38,39,0,0,0,0,-26,-3.2124999999999995,0
4005912,83,84,0,0,0,0,-13,-0.8866666666666665,0
4005912,157,158,0,0,1,0,-9,-0.664285714285714,0
4005912,200,201,0,0,0,0,0,0.0,0
4005912,228,229,0,0,0,0,0,0.0,0
4005920,4,5,0,0,0,0,0,0.0,0
4005920,23,24,0,0,0,0,52,4.316666666666667,0
4005920,97,98,0,0,0,0,0,0.0,0
4005920,108,109,0,0,0,0,60,4.013333333333333,0
4005920,111,112,0,0,0,0,12,4.0,0
4005920,151,152,0,0,0,0,0,0.0,0
4005920,154,155,0,0,1,0,34,6.780000000000001,0
4005920,157,158,0,0,0,0,25,6.175000000000001,0
4005920,164,165,0,0,1,0,68,6.163636363636363,0
4005920,167,168,0,0,0,0,-8,-3.75,0
4005920,169,170,0,0,1,0,15,1.6444444444444442,0
4005920,175,176,0,0,0,0,0,0.0,0
4005920,193,194,0,0,0,0,0,0.0,0
4005926,12,13,0,0,0,0,-13,-1.4333333333333336,0
4005926,55,56,0,0,0,0,-1,-0.8999999999999986,0
4005926,60,61,0,0,0,0,0,0.0,0
4005926,73,74,0,0,0,0,-44,-3.1214285714285714,0
4005926,152,153,0,0,0,0,0,0.0,0
4005926,183,184,0,0,1,0,70,6.970000000000001,0
4005938,10,11,22,0,0,0,8,7.799999999999997,0
4005938,44,45,0,0,0,0,8,1.9499999999999993,0
4005938,103,104,0,0,0,0,-13,-4.466666666666666,0
4005938,149,150,0,0,1,0,14,14.0,0
4005941,76,77,0,0,0,0,26,12.899999999999999,0
4005941,87,88,0,0,0,0,-20,-10.0,0
4005941,114,115,0,0,0,0,0,0.0,0
4005941,126,127,0,0,1,0,-10,-0.792307692307692,0
4005941,156,157,0,0,0,0,0,0.0,0
4005941,161,162,0,0,0,0,0,-0.033333333333333805,0
4005941,164,165,0,0,0,0,0,0.0,0
4005941,172,173,0,0,0,0,23,2.533333333333333,0
4005941,174,175,0,0,0,0,0,0.0,0
4005951,48,49,0,0,0,0,0,0.0,0
4005951,78,79,0,0,0,0,-6,-2.9,0
4005951,128,129,0,0,0,0,0,0.0,0
4005951,138,139,0,0,0,0,22,5.424999999999999,0
4005951,155,156,0,0,1,0,33,5.533333333333332,0
4005951,172,173,0,0,0,0,35,8.674999999999999,0
4005951,184,185,0,0,1,0,28,7.074999999999999,0
4005960,10,11,0,0,0,0,17,3.4,0
4005960,38,39,0,0,0,0,-3,-0.6749999999999998,0
4005960,49,50,0,0,0,0,0,0.0,0
4005960,109,110,0,0,0,0,8,1.2666666666666657,0
4005960,120,121,0,0,1,0,46,7.666666666666667,0
4005960,126,127,0,0,0,0,16,1.3083333333333336,0
4005960,130,131,0,0,1,0,-2,-0.4599999999999994,0
4005960,135,136,0,0,0,0,-1,-0.05333333333333314,0
4005960,138,139,0,0,0,0,58,4.833333333333333,0
4005960,141,142,0,0,1,0,24,6.125,0
4005960,148,149,0,0,0,0,-4,-4.499999999999993,0
4005960,165,166,0,0,0,0,-23,-5.65,0
4005960,169,170,0,0,1,0,24,4.8,0
4005960,177,178,0,0,0,0,0,0.0,0
4005960,206,207,0,0,0,0,52,4.325,0
