match_id,possession,first_event_id,first_event_index,first_player,first_position,first_start_x,first_end_x,n_actions_in_possession,n_distinct_players,validated_success_partial,validated_success_total,success_partial_start_action_number,success_partial_end_action_number,success_total_start_action_number,success_total_end_action_number,outcome_label
4005926,87,833c5400-f628-45db-89ef-5c5be06c1a49,1069,Lazar Carević,Goalkeeper,19.5,22.0,9,5,True,True,3.0,5.0,3.0,5.0,success_total
4005926,133,67bc02d3-8cb8-4967-b517-af56ad53c379,1676,Leonardo Javier Realpe Montaño,Left Center Back,32.4,18.3,13,6,True,True,5.0,7.0,11.0,13.0,success_total
4005926,152,8069b8bd-b853-4c61-b96e-17237bd7cefb,1940,Leonardo Javier Realpe Montaño,Left Center Back,5.5,4.9,7,4,False,False,,,,,unsuccessful
4005926,169,15e9e986-aa31-4f72-a585-28bde39df93e,2142,Lazar Carević,Goalkeeper,13.3,28.4,10,6,True,True,2.0,4.0,3.0,5.0,success_total
4005926,176,b63ed4d8-57bf-49b6-a1c9-b327e8807b52,2278,Lazar Carević,Goalkeeper,6.3,31.8,9,6,True,True,4.0,6.0,5.0,7.0,success_total
4005926,183,da2e7acd-56de-4b22-93e0-baf0280adb5b,2370,Ibrahima Ba,Right Center Back,3.8,3.8,18,9,True,False,9.0,11.0,,,success_partial
4005926,193,22645ced-6d04-4810-b766-8f7806bd3a6b,2548,Lazar Carević,Goalkeeper,18.4,27.6,15,5,True,True,4.0,6.0,5.0,7.0,success_total
4005938,6,235a048c-f161-403d-bc34-134d79ad56ea,47,Justin de Haas,Left Center Back,32.1,19.9,22,8,True,True,9.0,11.0,9.0,11.0,success_total
4005938,10,a0c6dbdb-1278-436c-8cd8-dacec93569df,157,Lazar Carević,Goalkeeper,5.0,8.9,22,9,True,False,5.0,7.0,,,success_partial
4005938,12,cbf7837f-b276-4a16-ac33-5ad3ad694afc,199,Lazar Carević,Goalkeeper,4.7,9.8,19,7,True,True,15.0,17.0,15.0,17.0,success_total
4005938,26,a9d9fd5e-8a6d-4491-9614-9a13f35c4ef2,439,Ibrahima Ba,Right Center Back,10.8,16.8,14,6,True,True,10.0,12.0,11.0,13.0,success_total
4005938,33,c4aab50a-fa69-40e0-8c79-f6eb85693718,532,Lazar Carević,Goalkeeper,8.6,28.6,5,3,True,True,2.0,4.0,3.0,5.0,success_total
4005938,44,309cf2fb-96c3-408a-ae9d-031cc0287c4b,695,Lazar Carević,Goalkeeper,6.2,12.8,8,5,True,False,4.0,6.0,,,success_partial
4005938,52,5d41fa34-cb8b-4d33-9ba1-992089e3dba2,833,Lazar Carević,Goalkeeper,10.4,21.3,14,6,True,True,6.0,8.0,12.0,14.0,success_total
4005938,62,a766fb8b-5ce2-440c-96bb-7493fd61646d,1026,Ibrahima Ba,Right Center Back,28.9,13.8,9,5,True,True,7.0,9.0,7.0,9.0,success_total
4005938,67,d477b41e-f985-4536-af3b-a21c5c290c30,1091,Justin de Haas,Left Center Back,32.6,37.3,12,5,True,True,2.0,4.0,10.0,12.0,success_total
4005938,103,b3fb2571-bf18-42f5-9f7d-acb26311109c,1555,Lazar Carević,Goalkeeper,16.4,33.1,11,5,True,False,5.0,7.0,,,success_partial
4005938,115,12744352-cabc-459d-b3a7-77a2ce67cfca,1665,Ibrahima Ba,Right Center Back,29.8,8.2,33,9,True,True,23.0,25.0,25.0,27.0,success_total
4005938,139,7d556ce7-76c9-4034-86ea-a6bcd044b6fd,2227,Lazar Carević,Goalkeeper,3.7,8.8,6,4,True,True,2.0,4.0,3.0,5.0,success_total
4005938,149,61fe5b81-4f95-45bf-a52e-6edd419e5cee,2344,Justin de Haas,Left Center Back,9.0,2.8,4,3,False,False,,,,,unsuccessful
4005938,177,365f44ed-c3c3-428a-8f13-9e1552942ee1,2729,Lazar Carević,Goalkeeper,6.2,22.8,8,5,True,True,6.0,8.0,6.0,8.0,success_total
4005938,183,8a597a4c-c1ff-4404-bdc4-6d2d18fcd1d8,2807,Lazar Carević,Goalkeeper,3.3,14.5,25,8,True,True,5.0,7.0,5.0,7.0,success_total
4005941,54,edc84cf2-213f-4ac0-8e52-9bfc81dddaf5,910,Lazar Carević,Goalkeeper,6.8,11.9,17,9,True,True,2.0,4.0,10.0,12.0,success_total
4005941,71,12a6ab8e-609e-484f-8e01-6b2696b8d293,1121,Lazar Carević,Goalkeeper,16.3,24.6,10,6,True,True,2.0,4.0,6.0,8.0,success_total
4005941,76,e124b569-41ac-42b8-aefb-ca8b5c17e430,1200,Lazar Carević,Goalkeeper,12.1,15.4,5,3,False,False,,,,,unsuccessful
4005941,87,49f3a5f6-14bc-4158-b000-ec2f43f744e9,1372,Lazar Carević,Goalkeeper,14.1,15.9,5,3,False,False,,,,,unsuccessful
4005941,114,c82d663b-3c15-49f5-8ba0-6fc67e4d4149,1781,Ibrahima Ba,Right Center Back,28.5,20.5,17,7,True,False,15.0,17.0,,,success_partial
4005941,126,7822b121-4488-4120-9a7e-6d646f96978f,2006,Justin de Haas,Left Center Back,5.3,4.5,10,5,True,False,7.0,9.0,,,success_partial
4005941,156,f04877ea-dc74-4171-876a-8825e1a130f6,2452,Ibrahima Ba,Right Center Back,28.3,9.7,8,5,False,False,,,,,unsuccessful
4005941,161,3349d8cb-2f67-486c-b41c-e38d8e6b252c,2595,Justin de Haas,Left Center Back,15.3,4.5,10,5,True,False,7.0,9.0,,,success_partial
4005941,164,69a4ab2c-f42a-4b12-a431-da3b44eb6e94,2623,Justin de Haas,Left Center Back,30.0,35.8,10,5,True,False,4.0,6.0,,,success_partial
4005941,172,65f1cb28-9c2f-4071-92af-2174a821b094,2746,Justin de Haas,Left Center Back,39.2,24.2,9,4,False,False,,,,,unsuccessful
4005941,174,c925377c-71dd-4ccf-a612-77489cbb751f,2772,Ibrahima Ba,Right Center Back,19.0,31.0,22,9,True,False,5.0,7.0,,,success_partial
